city,city_LP
Antalya,mediterranean-coast/antalya
Athens,Athens
Ayia-napa,the-republic-of-cyprus/Agia-napa
Bangkok,Bangkok
Barcelona,Barcelona
Basel,northern-switzerland/basel
Batumi,adjara/batumi
Beijing,Beijing
Berlin,Berlin
Boston,Boston
Bratislava,Bratislava
Brussels,Brussels
Bucharest,Bucharest
Budapest,Budapest
Burgas,black-sea-coast/burgas
Cancun,Cancun
Catania,sicily/catania
Chiang-mai,chiang-mai-province/Chiang-mai
Cologne,north-rhine-westphalia/cologne
Corfu,ionian-islands/corfu
Costa-Brava,Costa-Brava
Crete,Crete
Krakï¿,malopolska/krakow
Delhi,Delhi
Dresden,saxony/dresden
Dublin,Dublin
Dubrovnik,Dubrovnik
Dusseldorf,north-rhine-westphalia/Dusseldorf
Florence,Florence
Frankfurt,frankfurt-southern-rhineland
Geneva,Geneva
Guangzhou,guangdong/guangzhou
Hamburg,Hamburg
Innsbruck,tirol/innsbruck
Istanbul,Istanbul
Kos,dodecanese/kos
Ko-samui,Ko-samui
Kyiv ukrain,Kyiv
LarnaKa,the-republic-of-cyprus/larnaka
Las-Vegas,Las-Vegas
Limassol,the-republic-of-cyprus/lemesos-limasol
Lisbon,Lisbon
Ljubljana,Ljubljana
Los Angeles,Los-Angeles
Madrid,Madrid
Manila,Manila
Marseille,provence/Marseille
Mexico-City,Mexico-City
Miami,Miami
Milan,Milan
Moscow,Moscow
mumbai-bombay,mumbai-bombay
Munich,Munich
Mykonos,cyclades/mykonos
Naples Italy,campania/naples
Nice,Nice
Odesa,Odesa
Paris,Paris
Phuket,phuket-province
Rhodes,dodecanese/rhodes
Rome,Rome
Salzburg,Salzburg
San-Francisco,San-Francisco
Shanghai,Shanghai
Sofia,Sofia
St-Petersburg Russia,St-Petersburg
Stuttgart,baden-wurttemberg/stuttgart
Taipei,Taipei
Tbilisi,Tbilisi
Thessaloniki,northern-greece/Thessaloniki
Toronto,Toronto
Venice,Venice
Vienna,Vienna
Warsaw,Warsaw
Zakynthos,Zakynthos
Zurich,Zurich
